"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","Functioning.Day","Time"
1,12,2017,930,-7.6,37,1.1,2000,-19.8,0.01,0,0,"Winter","No Holiday","Yes","Morning"
2,12,2017,219,-4.2,79,2.1,1436,-7.3,0.01,0,0,"Winter","No Holiday","Yes","Morning"
3,12,2017,85,3.2,92,1.8,244,2,0,0,0,"Winter","No Holiday","Yes","Morning"
4,12,2017,937,-0.8,69,3.5,954,-5.7,0.01,0,0,"Winter","No Holiday","Yes","Morning"
5,12,2017,812,-8.1,36,1.6,2000,-20.5,0.01,0,0,"Winter","No Holiday","Yes","Morning"
6,12,2017,802,-4.2,78,0,1518,-7.4,0.01,0,0.2,"Winter","No Holiday","Yes","Morning"
7,12,2017,754,-0.2,96,0.8,173,-0.7,0.01,0,0.8,"Winter","No Holiday","Yes","Morning"
8,12,2017,780,-7,59,0.8,1559,-13.6,0.01,0,0,"Winter","No Holiday","Yes","Morning"
9,12,2017,222,-5.4,56,0.7,1940,-12.8,0.01,0,0,"Winter","No Holiday","Yes","Morning"
10,12,2017,35,-0.2,90,1.2,378,-1.6,0,0,4.1,"Winter","No Holiday","Yes","Morning"
11,12,2017,653,-6,38,3.6,1994,-18,0.01,0,0,"Winter","No Holiday","Yes","Morning"
12,12,2017,580,-12.3,52,1.3,1914,-20.1,0,0,0,"Winter","No Holiday","Yes","Morning"
13,12,2017,591,-11.4,47,3.3,2000,-20.4,0,0,0,"Winter","No Holiday","Yes","Morning"
14,12,2017,621,-10.4,54,1.1,1432,-17.9,0.01,0,0,"Winter","No Holiday","Yes","Morning"
15,12,2017,658,-6.6,64,1.1,791,-12.2,0,0,0,"Winter","No Holiday","Yes","Morning"
16,12,2017,190,-7.3,62,2.6,1112,-13.3,0,0,0,"Winter","No Holiday","Yes","Morning"
17,12,2017,94,-10.7,43,0.9,2000,-20.8,0,0,0,"Winter","No Holiday","Yes","Morning"
18,12,2017,146,-4.6,86,1.2,508,-6.5,0,0,2,"Winter","No Holiday","Yes","Morning"
19,12,2017,390,-5.2,58,2.2,1594,-12.1,0,0,2.5,"Winter","No Holiday","Yes","Morning"
20,12,2017,466,-7.8,65,1.1,1738,-13.2,0,0,2,"Winter","No Holiday","Yes","Morning"
21,12,2017,423,-5.6,89,0.9,371,-7.1,0,0,2.2,"Winter","No Holiday","Yes","Morning"
22,12,2017,544,-0.4,69,0.5,904,-5.4,0,0,0.7,"Winter","Holiday","Yes","Morning"
