"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","BikeCountPlus1","BikeCountPlus2"
1,12,2017,484,1.2,54,4.2,793,-7,0.24,0,0,"Winter","No Holiday",555,862
2,12,2017,618,6.4,48,2.6,1945,-3.8,0.22,0,0,"Winter","No Holiday",572,489
3,12,2017,598,7.6,77,1.6,399,3.8,0.2,0,0,"Winter","No Holiday",545,443
4,12,2017,375,-0.2,23,4.7,2000,-18.8,0.55,0,0,"Winter","No Holiday",515,807
5,12,2017,435,-0.5,30,0,2000,-16,0,0,0,"Winter","No Holiday",529,789
6,12,2017,496,5.3,37,2.9,2000,-8.2,0.36,0,0,"Winter","No Holiday",239,204
7,12,2017,471,3.2,38,2.9,1817,-9.7,0.51,0,0,"Winter","No Holiday",552,795
8,12,2017,401,-1.1,24,3.4,2000,-19.1,0.56,0,0,"Winter","No Holiday",500,752
9,12,2017,546,4.4,33,1.6,1963,-10.5,0.4,0,0,"Winter","No Holiday",481,384
10,12,2017,214,5.4,71,3.5,622,0.5,0.2,0,0.5,"Winter","No Holiday",226,210
11,12,2017,277,-6,40,4,2000,-17.4,0.55,0,0,"Winter","No Holiday",361,557
12,12,2017,248,-6,29,2.8,1983,-21.2,0.58,0,0,"Winter","No Holiday",305,529
13,12,2017,278,-4.5,26,2.2,2000,-21.1,0.56,0,0,"Winter","No Holiday",392,537
14,12,2017,335,-2.4,28,0.9,1878,-18.4,0.35,0,0,"Winter","No Holiday",382,612
15,12,2017,354,0,37,0.6,994,-12.9,0.13,0,0,"Winter","No Holiday",464,682
16,12,2017,258,-3.3,24,3.5,2000,-21,0.54,0,0,"Winter","No Holiday",277,212
17,12,2017,256,-2.7,31,2.3,2000,-17.5,0.54,0,0,"Winter","No Holiday",266,204
18,12,2017,181,1.8,76,0.8,410,-1.9,0.47,0,2.7,"Winter","No Holiday",175,281
19,12,2017,211,-1.8,31,3.1,1993,-16.7,0.56,0,2,"Winter","No Holiday",256,384
20,12,2017,225,-0.5,48,1.1,1722,-10.1,0.12,0,1.6,"Winter","No Holiday",237,329
21,12,2017,301,4.1,51,1.8,1112,-5.1,0.48,0,0.9,"Winter","No Holiday",366,531
22,12,2017,416,6,58,0.7,732,-1.6,0.19,0,0,"Winter","Holiday",477,671
23,12,2017,473,8.2,64,1,281,1.7,0.32,0,0,"Winter","No Holiday",453,340
24,12,2017,54,2.3,91,3.3,270,0.9,0.07,0,0,"Winter","Holiday",104,128
25,12,2017,272,0.4,27,2,2000,-16.4,0.58,0,0,"Winter","Holiday",260,237
26,12,2017,282,-1.9,17,3.3,2000,-23.7,0.61,0,0,"Winter","No Holiday",350,481
27,12,2017,269,-3.2,23,2.7,2000,-21.4,0.57,0,0,"Winter","No Holiday",314,466
28,12,2017,390,0.3,57,2.3,1204,-7.2,0.19,0,0,"Winter","No Holiday",407,552
29,12,2017,504,5.4,56,2.2,396,-2.6,0.39,0,0,"Winter","No Holiday",534,574
30,12,2017,345,4.1,63,0.7,263,-2.3,0.13,0,0,"Winter","No Holiday",183,45
31,12,2017,272,2.7,26,2.7,2000,-14.9,0.59,0,0,"Winter","Holiday",240,215
1,1,2018,310,3,28,2.5,1864,-13.7,0.51,0,0,"Winter","Holiday",271,218
2,1,2018,320,1.3,23,2.9,2000,-17.6,0.51,0,0,"Winter","No Holiday",373,675
3,1,2018,299,-0.4,30,2,2000,-15.9,0.62,0,0,"Winter","No Holiday",382,637
4,1,2018,309,-1.4,34,1.8,1719,-15.2,0.3,0,0,"Winter","No Holiday",397,603
5,1,2018,329,1,34,2.9,2000,-13.1,0.61,0,0,"Winter","No Holiday",446,635
6,1,2018,352,2.7,27,2.2,1811,-14.4,0.64,0,0,"Winter","No Holiday",354,271
7,1,2018,333,2.6,32,1,1381,-12.4,0.27,0,0,"Winter","No Holiday",349,270
8,1,2018,353,3.5,36,1.7,1702,-10.2,0.16,0,0,"Winter","No Holiday",385,316
9,1,2018,262,-2.4,56,3.3,1541,-9.9,0.35,0,0,"Winter","No Holiday",332,558
10,1,2018,196,-5.4,30,3.9,2000,-20.2,0.69,0,0.2,"Winter","No Holiday",266,437
11,1,2018,179,-8.2,39,2.8,1807,-19.7,0.63,0,0,"Winter","No Holiday",219,352
12,1,2018,196,-5.8,21,1.1,2000,-24.6,0.66,0,0,"Winter","No Holiday",259,405
13,1,2018,249,-1.2,63,0.9,876,-7.3,0.19,0,0,"Winter","No Holiday",277,223
